,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
6,1.0,head,0.0236184699368,19.3045221242,0.0327722507259,26.7863515669,0.195132089721,817.348548651,268.606699483,1085.95524813
13,2.0,body,0.0563907206627,46.0908736911,0.0518494628186,42.3790831831,0.195132089721,817.348548651,268.606699483,1085.95524813
23,3.0,body,0.108240183481,88.4699568742,0.0699045321951,57.1363679338,0.195132089721,817.348548651,268.606699483,1085.95524813
36,4.0,body,0.178144715676,145.606324808,0.0567385739157,46.3751910425,0.195132089721,817.348548651,268.606699483,1085.95524813
48,5.0,body,0.234883289592,191.981515851,0.0643289926499,52.5792087786,0.195132089721,817.348548651,268.606699483,1085.95524813
60,6.0,body,0.299212282242,244.560724629,0.0734627945691,60.0447085209,0.195132089721,817.348548651,268.606699483,1085.95524813
74,7.0,body,0.372675076811,304.60543315,0.0818474973532,66.8979331724,0.195132089721,817.348548651,268.606699483,1085.95524813
89,8.0,body,0.454522574164,371.503366322,0.0671836683272,54.9124738003,0.195132089721,817.348548651,268.606699483,1085.95524813
102,9.0,body,0.521706242491,426.415840123,0.0709437885203,57.9858025829,0.195132089721,817.348548651,268.606699483,1085.95524813
116,10.0,body,0.592650031012,484.401642706,0.0817759848004,66.8394824912,0.195132089721,817.348548651,268.606699483,1085.95524813
129,11.0,body,0.674426015812,551.241125197,0.0840205592046,68.6740821228,0.195132089721,817.348548651,268.606699483,1085.95524813
146,12.0,body,0.758446575017,619.91520732,0.0757340006619,61.9010755246,0.195132089721,817.348548651,268.606699483,1085.95524813
162,13.0,body,0.834180575679,681.816282844,0.0862348777058,70.4839521359,0.195132089721,817.348548651,268.606699483,1085.95524813
177,14.0,body,0.920415453385,752.30023498,0.0795845466154,65.0483136712,0.195132089721,817.348548651,268.606699483,1085.95524813
191,15.0,vent,1.0,817.348548651,0.0959713539839,78.4420468909,0.195132089721,817.348548651,268.606699483,1085.95524813
208,16.0,tail,1.09597135398,895.790595542,0.0911434280442,74.4959486311,0.195132089721,817.348548651,268.606699483,1085.95524813
225,17.0,tail,1.18711478203,970.286544173,0.125477253349,102.558650913,0.195132089721,817.348548651,268.606699483,1085.95524813
244,18.0,tail,1.31259203538,1072.84519509,,,0.195132089721,817.348548651,268.606699483,1085.95524813
