,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0207877589104,15.2493955764,0.078992125839,57.9467069794,0.18754043168,733.575737632,260.455261376,994.030999008
22,2.0,body,0.0997798847494,73.1961025559,0.0829021277916,60.814989546,0.18754043168,733.575737632,260.455261376,994.030999008
41,3.0,body,0.182682012541,134.011092102,0.102513412072,75.2013518782,0.18754043168,733.575737632,260.455261376,994.030999008
62,4.0,body,0.285195424613,209.21244398,0.0539990567155,39.6123978615,0.18754043168,733.575737632,260.455261376,994.030999008
74,5.0,body,0.339194481329,248.824841842,0.0858512318515,62.9783807321,0.18754043168,733.575737632,260.455261376,994.030999008
88,6.0,body,0.42504571318,311.803222574,0.0929092509534,68.1559723009,0.18754043168,733.575737632,260.455261376,994.030999008
105,7.0,body,0.517954964134,379.959194875,0.0712960584631,52.3010586773,0.18754043168,733.575737632,260.455261376,994.030999008
119,8.0,body,0.589251022597,432.260253552,0.0783728931348,57.4924528917,0.18754043168,733.575737632,260.455261376,994.030999008
132,9.0,body,0.667623915732,489.752706444,0.0703140727607,51.5806977913,0.18754043168,733.575737632,260.455261376,994.030999008
145,10.0,body,0.737937988492,541.333404235,0.0870907020433,63.8876259923,0.18754043168,733.575737632,260.455261376,994.030999008
159,11.0,body,0.825028690536,605.221030227,0.0860076865256,63.0931520851,0.18754043168,733.575737632,260.455261376,994.030999008
175,12.0,body,0.911036377061,668.314182312,0.0889636229386,65.2615553196,0.18754043168,733.575737632,260.455261376,994.030999008
192,13.0,vent,1.0,733.575737632,0.146912814274,107.771676099,0.18754043168,733.575737632,260.455261376,994.030999008
223,14.0,tail,1.14691281427,841.347413731,0.182302157214,133.73243945,0.18754043168,733.575737632,260.455261376,994.030999008
255,15.0,tail,1.32921497149,975.079853181,,,0.18754043168,733.575737632,260.455261376,994.030999008
