,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0284752344566,21.2831524517,0.0904805306722,67.6275705874,0.195101072329,747.426767781,346.52391924,1093.95068702
16,2.0,body,0.118955765129,88.9107230391,0.0948888995491,70.9225034882,0.195101072329,747.426767781,346.52391924,1093.95068702
29,3.0,body,0.213844664678,159.833226527,0.0851285955865,63.6273910449,0.195101072329,747.426767781,346.52391924,1093.95068702
41,4.0,body,0.298973260264,223.460617572,0.087522208106,65.4164411137,0.195101072329,747.426767781,346.52391924,1093.95068702
54,5.0,body,0.38649546837,288.877058686,0.10000687459,74.7478150304,0.195101072329,747.426767781,346.52391924,1093.95068702
67,6.0,body,0.48650234296,363.624873716,0.0665096436344,49.7110879679,0.195101072329,747.426767781,346.52391924,1093.95068702
76,7.0,body,0.553011986594,413.335961684,0.113005683452,84.4634727232,0.195101072329,747.426767781,346.52391924,1093.95068702
94,8.0,body,0.666017670046,497.799434407,0.0984727280871,73.6011528687,0.195101072329,747.426767781,346.52391924,1093.95068702
108,9.0,body,0.764490398133,571.400587276,0.0950653574507,71.0543928473,0.195101072329,747.426767781,346.52391924,1093.95068702
121,10.0,body,0.859555755584,642.454980123,0.140444244416,104.971787657,0.195101072329,747.426767781,346.52391924,1093.95068702
136,11.0,vent,1.0,747.426767781,0.240625301862,179.849791617,0.195101072329,747.426767781,346.52391924,1093.95068702
164,12.0,tail,1.24062530186,927.276559398,0.176673233131,132.050303592,0.195101072329,747.426767781,346.52391924,1093.95068702
183,13.0,tail,1.41729853499,1059.32686299,,,0.195101072329,747.426767781,346.52391924,1093.95068702
