,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
6,1.0,head,0.0197956432472,15.1162002946,0.148242330127,113.199693809,0.185000509642,763.612483103,298.87295547,1062.48543857
35,2.0,body,0.168037973374,128.315894104,0.0624486641648,47.6865795093,0.185000509642,763.612483103,298.87295547,1062.48543857
46,3.0,body,0.230486637539,176.002473613,0.0899208949432,68.6647178704,0.185000509642,763.612483103,298.87295547,1062.48543857
64,4.0,body,0.320407532482,244.667191484,0.0850591882711,64.9522579664,0.185000509642,763.612483103,298.87295547,1062.48543857
80,5.0,body,0.405466720753,309.61944945,0.0835482770498,63.7985072969,0.185000509642,763.612483103,298.87295547,1062.48543857
95,6.0,body,0.489014997803,373.417956747,0.0718498807495,54.8654658497,0.185000509642,763.612483103,298.87295547,1062.48543857
106,7.0,body,0.560864878553,428.283422597,0.0882311778021,67.3744287685,0.185000509642,763.612483103,298.87295547,1062.48543857
121,8.0,body,0.649096056355,495.657851365,0.0876599928805,66.9382648323,0.185000509642,763.612483103,298.87295547,1062.48543857
137,9.0,body,0.736756049235,562.596116197,0.0868983699755,66.3566800746,0.185000509642,763.612483103,298.87295547,1062.48543857
152,10.0,body,0.823654419211,628.952796272,0.0796391959254,60.8134841529,0.185000509642,763.612483103,298.87295547,1062.48543857
167,11.0,body,0.903293615136,689.766280425,0.0967063848638,73.8462026778,0.185000509642,763.612483103,298.87295547,1062.48543857
186,12.0,vent,1.0,763.612483103,0.119447680081,91.2117395873,0.185000509642,763.612483103,298.87295547,1062.48543857
208,13.0,tail,1.11944768008,854.82422269,0.0904645564796,69.0798646062,0.185000509642,763.612483103,298.87295547,1062.48543857
224,14.0,tail,1.20991223656,923.904087296,0.143095799136,109.2697385,0.185000509642,763.612483103,298.87295547,1062.48543857
250,15.0,tail,1.3530080357,1033.1738258,,,0.185000509642,763.612483103,298.87295547,1062.48543857
