,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0268693974221,17.5236237269,0.124425107539,81.1472893288,0.187805190424,652.1777713,258.061846987,910.239618288
24,2.0,body,0.151294504961,98.6709130557,0.0896794065773,58.4869155131,0.187805190424,652.1777713,258.061846987,910.239618288
41,3.0,body,0.240973911539,157.157828569,0.0799495220199,52.1413010874,0.187805190424,652.1777713,258.061846987,910.239618288
57,4.0,body,0.320923433559,209.299129656,0.0667264805886,43.517527397,0.187805190424,652.1777713,258.061846987,910.239618288
71,5.0,body,0.387649914147,252.816657053,0.100615515745,65.6192028166,0.187805190424,652.1777713,258.061846987,910.239618288
86,6.0,body,0.488265429892,318.43585987,0.0881799581061,57.509008551,0.187805190424,652.1777713,258.061846987,910.239618288
98,7.0,body,0.576445387998,375.944868421,0.0986927113933,64.3651925601,0.187805190424,652.1777713,258.061846987,910.239618288
113,8.0,body,0.675138099391,440.310060981,0.0969568124908,63.2330778826,0.187805190424,652.1777713,258.061846987,910.239618288
131,9.0,body,0.772094911882,503.543138864,0.100139487688,65.3087478994,0.187805190424,652.1777713,258.061846987,910.239618288
147,10.0,body,0.87223439957,568.851886763,0.12776560043,83.3258845373,0.187805190424,652.1777713,258.061846987,910.239618288
167,11.0,vent,1.0,652.1777713,0.129387201643,84.3834568026,0.187805190424,652.1777713,258.061846987,910.239618288
186,12.0,tail,1.12938720164,736.561228103,0.117722764539,76.7761702081,0.187805190424,652.1777713,258.061846987,910.239618288
201,13.0,tail,1.24710996618,813.337398311,0.127792386628,83.3433539003,0.187805190424,652.1777713,258.061846987,910.239618288
216,14.0,tail,1.37490235281,896.680752211,,,0.187805190424,652.1777713,258.061846987,910.239618288
