,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0213462811683,16.4943454217,0.064844791128,50.1057947863,0.190260713624,772.703464914,302.864484749,1075.56794966
18,2.0,body,0.0861910722963,66.600140208,0.0797301963712,61.6077989944,0.190260713624,772.703464914,302.864484749,1075.56794966
33,3.0,body,0.165921268668,128.207939202,0.0645491964382,49.8773877453,0.190260713624,772.703464914,302.864484749,1075.56794966
44,4.0,body,0.230470465106,178.085326948,0.0885750530215,68.4422503747,0.190260713624,772.703464914,302.864484749,1075.56794966
59,5.0,body,0.319045518127,246.527577322,0.0865331501472,66.8644649487,0.190260713624,772.703464914,302.864484749,1075.56794966
75,6.0,body,0.405578668274,313.392042271,0.0863870721299,66.7515899586,0.190260713624,772.703464914,302.864484749,1075.56794966
92,7.0,body,0.491965740404,380.14363223,0.0705814826206,54.5385561798,0.190260713624,772.703464914,302.864484749,1075.56794966
106,8.0,body,0.562547223025,434.682188409,0.0879600579293,67.967041536,0.190260713624,772.703464914,302.864484749,1075.56794966
123,9.0,body,0.650507280954,502.649229945,0.0884923954688,68.3783805973,0.190260713624,772.703464914,302.864484749,1075.56794966
139,10.0,body,0.738999676423,571.027610543,0.0834466628641,64.4795255306,0.190260713624,772.703464914,302.864484749,1075.56794966
157,11.0,body,0.822446339287,635.507136073,0.0820970525496,63.4366769643,0.190260713624,772.703464914,302.864484749,1075.56794966
175,12.0,body,0.904543391837,698.943813038,0.0954566081634,73.7596518768,0.190260713624,772.703464914,302.864484749,1075.56794966
194,13.0,vent,1.0,772.703464914,0.120860883147,93.3896231801,0.190260713624,772.703464914,302.864484749,1075.56794966
215,14.0,tail,1.12086088315,866.093088095,0.0906910975706,70.0773253297,0.190260713624,772.703464914,302.864484749,1075.56794966
231,15.0,tail,1.21155198072,936.170413424,0.139234128738,107.58669371,0.190260713624,772.703464914,302.864484749,1075.56794966
254,16.0,tail,1.35078610946,1043.75710713,,,0.190260713624,772.703464914,302.864484749,1075.56794966
