,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0199139284971,15.4661202991,0.0909405391546,70.6288223759,0.200024710188,776.648379617,287.254582585,1063.9029622
20,2.0,body,0.110854467652,86.094942675,0.0894006874932,69.4328990783,0.200024710188,776.648379617,287.254582585,1063.9029622
36,3.0,body,0.200255155145,155.527841753,0.0717529927359,55.726845541,0.200024710188,776.648379617,287.254582585,1063.9029622
47,4.0,body,0.272008147881,211.254687294,0.0784805732813,60.9518100704,0.200024710188,776.648379617,287.254582585,1063.9029622
63,5.0,body,0.350488721162,272.206497365,0.0622148202339,48.3190393229,0.200024710188,776.648379617,287.254582585,1063.9029622
74,6.0,body,0.412703541396,320.525536688,0.075628833356,58.7370108783,0.200024710188,776.648379617,287.254582585,1063.9029622
91,7.0,body,0.488332374752,379.262547566,0.083265105966,64.6677096272,0.200024710188,776.648379617,287.254582585,1063.9029622
110,8.0,body,0.571597480718,443.930257193,0.0856001774174,66.4812390862,0.200024710188,776.648379617,287.254582585,1063.9029622
129,9.0,body,0.657197658135,510.411496279,0.0876504693768,68.0735950142,0.200024710188,776.648379617,287.254582585,1063.9029622
145,10.0,body,0.744848127512,578.485091293,0.0780631851493,60.627646254,0.200024710188,776.648379617,287.254582585,1063.9029622
159,11.0,body,0.822911312662,639.112737547,0.0852713052044,66.2258210149,0.200024710188,776.648379617,287.254582585,1063.9029622
174,12.0,body,0.908182617866,705.338558562,0.091817382134,71.3098210551,0.200024710188,776.648379617,287.254582585,1063.9029622
193,13.0,vent,1.0,776.648379617,0.140457485444,109.086078475,0.200024710188,776.648379617,287.254582585,1063.9029622
219,14.0,tail,1.14045748544,885.734458093,0.189969559048,147.539550212,0.200024710188,776.648379617,287.254582585,1063.9029622
256,15.0,tail,1.33042704449,1033.2740083,,,0.200024710188,776.648379617,287.254582585,1063.9029622
