,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0238624396088,19.1300346923,0.0329347381404,26.4031127385,0.187605178675,801.67975303,264.319887663,1065.99964069
11,2.0,body,0.0567971777492,45.5331474308,0.0427943956648,34.3074005476,0.187605178675,801.67975303,264.319887663,1065.99964069
20,3.0,body,0.099591573414,79.8405479784,0.0672163265098,53.8859680359,0.187605178675,801.67975303,264.319887663,1065.99964069
33,4.0,body,0.166807899924,133.726516014,0.0589778772017,47.2813700292,0.187605178675,801.67975303,264.319887663,1065.99964069
44,5.0,body,0.225785777125,181.007886044,0.0627575992569,50.311496673,0.187605178675,801.67975303,264.319887663,1065.99964069
55,6.0,body,0.288543376382,231.319382717,0.076457674363,61.2945695005,0.187605178675,801.67975303,264.319887663,1065.99964069
71,7.0,body,0.365001050745,292.613952217,0.0782575231224,62.7374718095,0.187605178675,801.67975303,264.319887663,1065.99964069
88,8.0,body,0.443258573868,355.351424027,0.0717165449327,57.4937020298,0.187605178675,801.67975303,264.319887663,1065.99964069
105,9.0,body,0.5149751188,412.845126056,0.0659312847397,52.8557760671,0.187605178675,801.67975303,264.319887663,1065.99964069
121,10.0,body,0.58090640354,465.700902123,0.0852369594901,68.3327446331,0.187605178675,801.67975303,264.319887663,1065.99964069
139,11.0,body,0.66614336303,534.033646757,0.0804936595332,64.530137095,0.187605178675,801.67975303,264.319887663,1065.99964069
153,12.0,body,0.746637022563,598.563783852,0.0824583652693,66.1052019044,0.187605178675,801.67975303,264.319887663,1065.99964069
169,13.0,body,0.829095387833,664.668985756,0.0885808618724,71.0134834691,0.187605178675,801.67975303,264.319887663,1065.99964069
187,14.0,body,0.917676249705,735.682469225,0.0823237502948,65.9972838049,0.187605178675,801.67975303,264.319887663,1065.99964069
205,15.0,vent,1.0,801.67975303,0.0960483071383,76.9999831455,0.187605178675,801.67975303,264.319887663,1065.99964069
223,16.0,tail,1.09604830714,878.679736175,0.094551221942,75.7998002551,0.187605178675,801.67975303,264.319887663,1065.99964069
244,17.0,tail,1.19059952908,954.479536431,0.125763030852,100.821675514,0.187605178675,801.67975303,264.319887663,1065.99964069
272,18.0,tail,1.31636255993,1055.30121194,,,0.187605178675,801.67975303,264.319887663,1065.99964069
