,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0201914947342,14.6788919263,0.0747533330421,54.3444708428,0.184935909564,726.983916719,269.966422009,996.950338728
18,2.0,body,0.0949448277763,69.023362769,0.0872955420485,63.4624550706,0.184935909564,726.983916719,269.966422009,996.950338728
31,3.0,body,0.182240369825,132.48581784,0.103227490745,75.0447255351,0.184935909564,726.983916719,269.966422009,996.950338728
47,4.0,body,0.28546786057,207.530543375,0.0526730383683,38.2924517385,0.184935909564,726.983916719,269.966422009,996.950338728
56,5.0,body,0.338140898938,245.822995113,0.0895789026643,65.1224215143,0.184935909564,726.983916719,269.966422009,996.950338728
71,6.0,body,0.427719801603,310.945416628,0.0904854462174,65.7814640972,0.184935909564,726.983916719,269.966422009,996.950338728
83,7.0,body,0.51820524782,376.726880725,0.0731789564263,53.1999243642,0.184935909564,726.983916719,269.966422009,996.950338728
94,8.0,body,0.591384204246,429.926805089,0.0749996349794,54.5235283899,0.184935909564,726.983916719,269.966422009,996.950338728
104,9.0,body,0.666383839226,484.450333479,0.0725060005653,52.7106962766,0.184935909564,726.983916719,269.966422009,996.950338728
114,10.0,body,0.738889839791,537.161029756,0.0882223990827,64.1362652275,0.184935909564,726.983916719,269.966422009,996.950338728
129,11.0,body,0.827112238874,601.297294983,0.0867937566902,63.0976651854,0.184935909564,726.983916719,269.966422009,996.950338728
144,12.0,body,0.913905995564,664.394960168,0.086094004436,62.588956551,0.184935909564,726.983916719,269.966422009,996.950338728
159,13.0,vent,1.0,726.983916719,0.153155145242,111.341327354,0.184935909564,726.983916719,269.966422009,996.950338728
185,14.0,tail,1.15315514524,838.325244073,0.18713418132,136.043540088,0.184935909564,726.983916719,269.966422009,996.950338728
213,15.0,tail,1.34028932656,974.368784161,,,0.184935909564,726.983916719,269.966422009,996.950338728
