,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0221313265496,17.3008456807,0.154483950057,120.765602283,0.186958501756,781.735592846,254.80068393,1036.53627678
27,2.0,body,0.176615276607,138.066447964,0.104677616565,81.8302186433,0.186958501756,781.735592846,254.80068393,1036.53627678
44,3.0,body,0.281292893172,219.896666607,0.0820925320355,64.174654199,0.186958501756,781.735592846,254.80068393,1036.53627678
57,4.0,body,0.363385425208,284.071320807,0.100225594885,78.3499148356,0.186958501756,781.735592846,254.80068393,1036.53627678
72,5.0,body,0.463611020092,362.421235642,0.102707404511,80.2900337547,0.186958501756,781.735592846,254.80068393,1036.53627678
87,6.0,body,0.566318424603,442.711269397,0.104487095695,81.681281698,0.186958501756,781.735592846,254.80068393,1036.53627678
103,7.0,body,0.670805520298,524.392551095,0.11463986885,89.6180658396,0.186958501756,781.735592846,254.80068393,1036.53627678
120,8.0,body,0.785445389149,614.010616935,0.100399288527,78.485697338,0.186958501756,781.735592846,254.80068393,1036.53627678
138,9.0,body,0.885844677676,692.496314273,0.114155322324,89.2392785738,0.186958501756,781.735592846,254.80068393,1036.53627678
159,10.0,vent,1.0,781.735592846,0.13414405043,104.865178789,0.186958501756,781.735592846,254.80068393,1036.53627678
185,11.0,tail,1.13414405043,886.600771636,0.171331421251,133.935870165,0.186958501756,781.735592846,254.80068393,1036.53627678
216,12.0,tail,1.30547547168,1020.5366418,,,0.186958501756,781.735592846,254.80068393,1036.53627678
