,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0199050608433,12.8072063738,0.0843461774991,54.2695604184,0.190640068338,643.414580572,250.210690611,893.625271183
19,2.0,body,0.104251238342,67.0767667922,0.108521686388,69.8244353303,0.190640068338,643.414580572,250.210690611,893.625271183
36,3.0,body,0.21277292473,136.901202122,0.0877708756828,56.4730611639,0.190640068338,643.414580572,250.210690611,893.625271183
50,4.0,body,0.300543800413,193.374263286,0.0896033653357,57.6521117253,0.190640068338,643.414580572,250.210690611,893.625271183
64,5.0,body,0.390147165749,251.026375012,0.0981863080526,63.1745022136,0.190640068338,643.414580572,250.210690611,893.625271183
79,6.0,body,0.488333473802,314.200877225,0.108188547805,69.6100891084,0.190640068338,643.414580572,250.210690611,893.625271183
97,7.0,body,0.596522021606,383.810966334,0.101585161922,65.3613743502,0.190640068338,643.414580572,250.210690611,893.625271183
111,8.0,body,0.698107183528,449.172340684,0.0744922206257,47.9293808898,0.190640068338,643.414580572,250.210690611,893.625271183
122,9.0,body,0.772599404154,497.101721574,0.104218590224,67.0557605169,0.190640068338,643.414580572,250.210690611,893.625271183
137,10.0,body,0.876817994378,564.157482091,0.123182005622,79.2570984813,0.190640068338,643.414580572,250.210690611,893.625271183
154,11.0,vent,1.0,643.414580572,0.113416676023,72.9739430333,0.190640068338,643.414580572,250.210690611,893.625271183
169,12.0,tail,1.11341667602,716.388523605,0.127542920121,82.0629744547,0.190640068338,643.414580572,250.210690611,893.625271183
189,13.0,tail,1.24095959614,798.45149806,0.111052592168,71.4528570114,0.190640068338,643.414580572,250.210690611,893.625271183
204,14.0,tail,1.35201218831,869.904355071,,,0.190640068338,643.414580572,250.210690611,893.625271183
