,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0210965188405,17.8478204406,0.0534701267016,45.236146661,0.184945964862,846.007844968,295.322174263,1141.33001923
15,2.0,body,0.0745666455421,63.0839671016,0.100177327517,84.7508049672,0.184945964862,846.007844968,295.322174263,1141.33001923
33,3.0,body,0.174743973059,147.834772069,0.0795579823647,67.3066772104,0.184945964862,846.007844968,295.322174263,1141.33001923
46,4.0,body,0.254301955424,215.141449279,0.0745535391337,63.0728789772,0.184945964862,846.007844968,295.322174263,1141.33001923
61,5.0,body,0.328855494557,278.214328256,0.0909403929763,76.9362858824,0.184945964862,846.007844968,295.322174263,1141.33001923
78,6.0,body,0.419795887534,355.150614139,0.0983023428826,83.1645532575,0.184945964862,846.007844968,295.322174263,1141.33001923
94,7.0,body,0.518098230416,438.315167396,0.0881375720005,74.5650773489,0.184945964862,846.007844968,295.322174263,1141.33001923
110,8.0,body,0.606235802417,512.880244745,0.0663552279249,56.1370433791,0.184945964862,846.007844968,295.322174263,1141.33001923
124,9.0,body,0.672591030342,569.017288124,0.063835503719,54.0053369337,0.184945964862,846.007844968,295.322174263,1141.33001923
136,10.0,body,0.736426534061,623.022625058,0.0690262874528,58.3967806941,0.184945964862,846.007844968,295.322174263,1141.33001923
151,11.0,body,0.805452821513,681.419405752,0.0799943969209,67.6758873485,0.184945964862,846.007844968,295.322174263,1141.33001923
170,12.0,body,0.885447218434,749.095293101,0.114552781566,96.9125518674,0.184945964862,846.007844968,295.322174263,1141.33001923
191,13.0,vent,1.0,846.007844968,0.142408979193,120.479113591,0.184945964862,846.007844968,295.322174263,1141.33001923
222,14.0,tail,1.14240897919,966.486958559,0.093652468809,79.230723313,0.184945964862,846.007844968,295.322174263,1141.33001923
242,15.0,tail,1.236061448,1045.71768187,0.0898019563976,75.9731596059,0.184945964862,846.007844968,295.322174263,1141.33001923
255,16.0,tail,1.3258634044,1121.69084148,,,0.184945964862,846.007844968,295.322174263,1141.33001923
