,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0202355711829,17.2815625762,0.0537505201606,45.9039663008,0.195298383797,854.019015325,297.258389757,1151.27740508
16,2.0,body,0.0739860913435,63.185528877,0.0910908035815,77.7932783798,0.195298383797,854.019015325,297.258389757,1151.27740508
35,3.0,body,0.165076894925,140.978807257,0.123000248403,105.044551025,0.195298383797,854.019015325,297.258389757,1151.27740508
55,4.0,body,0.288077143328,246.023358282,0.0894583049475,76.3990935039,0.195298383797,854.019015325,297.258389757,1151.27740508
66,5.0,body,0.377535448275,322.422451786,0.0904807236098,77.2722584832,0.195298383797,854.019015325,297.258389757,1151.27740508
79,6.0,body,0.468016171885,399.694710269,0.0586388356537,50.0786806847,0.195298383797,854.019015325,297.258389757,1151.27740508
91,7.0,body,0.526655007539,449.773390954,0.0698860097195,59.6839812056,0.195298383797,854.019015325,297.258389757,1151.27740508
105,8.0,body,0.596541017258,509.45737216,0.0724141872839,61.8430929198,0.195298383797,854.019015325,297.258389757,1151.27740508
119,9.0,body,0.668955204542,571.300465079,0.0637239600787,54.421473639,0.195298383797,854.019015325,297.258389757,1151.27740508
129,10.0,body,0.732679164621,625.721938718,0.0702005106826,59.9525710085,0.195298383797,854.019015325,297.258389757,1151.27740508
139,11.0,body,0.802879675303,685.674509727,0.0819423013469,69.9802835097,0.195298383797,854.019015325,297.258389757,1151.27740508
152,12.0,body,0.88482197665,755.654793237,0.11517802335,98.3642220882,0.195298383797,854.019015325,297.258389757,1151.27740508
168,13.0,vent,1.0,854.019015325,0.143442327327,122.502475139,0.195298383797,854.019015325,297.258389757,1151.27740508
188,14.0,tail,1.14344232733,976.521490464,0.182596328419,155.940736598,0.195298383797,854.019015325,297.258389757,1151.27740508
220,15.0,tail,1.32603865575,1132.46222706,,,0.195298383797,854.019015325,297.258389757,1151.27740508
