,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.017505767798,15.5696902911,0.0763640135208,67.9184171538,0.186981822954,889.40345095,307.349558537,1196.75300949
21,2.0,body,0.0938697813189,83.4881074449,0.0903607439589,80.3671575074,0.186981822954,889.40345095,307.349558537,1196.75300949
42,3.0,body,0.184230525278,163.855264952,0.0989768595032,88.0303604064,0.186981822954,889.40345095,307.349558537,1196.75300949
63,4.0,body,0.283207384781,251.885625359,0.0871650306385,77.524879052,0.186981822954,889.40345095,307.349558537,1196.75300949
79,5.0,body,0.370372415419,329.410504411,0.0998472398332,88.8044796755,0.186981822954,889.40345095,307.349558537,1196.75300949
98,6.0,body,0.470219655253,418.214984086,0.0715978143721,63.679343183,0.186981822954,889.40345095,307.349558537,1196.75300949
112,7.0,body,0.541817469625,481.894327269,0.0671409685224,59.715409104,0.186981822954,889.40345095,307.349558537,1196.75300949
123,8.0,body,0.608958438147,541.609736373,0.0756546802241,67.2875336719,0.186981822954,889.40345095,307.349558537,1196.75300949
139,9.0,body,0.684613118371,608.897270045,0.0714891414333,63.5826890963,0.186981822954,889.40345095,307.349558537,1196.75300949
157,10.0,body,0.756102259805,672.479959141,0.0815780577823,72.5558061134,0.186981822954,889.40345095,307.349558537,1196.75300949
177,11.0,body,0.837680317587,745.035765255,0.0737573874633,65.6000749429,0.186981822954,889.40345095,307.349558537,1196.75300949
195,12.0,body,0.91143770505,810.635840198,0.0885622949497,78.7676107523,0.186981822954,889.40345095,307.349558537,1196.75300949
214,13.0,vent,1.0,889.40345095,0.100590545596,89.4655783861,0.186981822954,889.40345095,307.349558537,1196.75300949
230,14.0,tail,1.1005905456,978.869029336,0.0772518169778,68.7080326122,0.186981822954,889.40345095,307.349558537,1196.75300949
244,15.0,tail,1.17784236257,1047.57706195,0.139519221695,124.08887725,0.186981822954,889.40345095,307.349558537,1196.75300949
276,16.0,tail,1.31736158427,1171.6659392,,,0.186981822954,889.40345095,307.349558537,1196.75300949
