,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
6,1.0,head,0.0210879266503,17.9266156793,0.0546070077897,46.420819755,0.184034019835,850.089056954,296.007092729,1146.09614968
18,2.0,body,0.07569493444,64.3474354343,0.0965057041505,82.038443032,0.184034019835,850.089056954,296.007092729,1146.09614968
39,3.0,body,0.172200638591,146.385878466,0.0798958409502,67.9185800879,0.184034019835,850.089056954,296.007092729,1146.09614968
56,4.0,body,0.252096479541,214.304458554,0.0756662098725,64.3230169937,0.184034019835,850.089056954,296.007092729,1146.09614968
70,5.0,body,0.327762689413,278.627475548,0.0903995580857,76.8476750821,0.184034019835,850.089056954,296.007092729,1146.09614968
87,6.0,body,0.418162247499,355.47515063,0.0994716500485,84.5597611834,0.184034019835,850.089056954,296.007092729,1146.09614968
106,7.0,body,0.517633897547,440.034911813,0.0875397188531,74.4165570458,0.184034019835,850.089056954,296.007092729,1146.09614968
120,8.0,body,0.6051736164,514.451468859,0.0637033684345,54.1535363973,0.184034019835,850.089056954,296.007092729,1146.09614968
130,9.0,body,0.668876984835,568.605005257,0.0640111808015,54.4152043221,0.184034019835,850.089056954,296.007092729,1146.09614968
140,10.0,body,0.732888165637,623.020209579,0.068462144628,58.1989199638,0.184034019835,850.089056954,296.007092729,1146.09614968
152,11.0,body,0.801350310265,681.219129542,0.0767498521366,65.2442094242,0.184034019835,850.089056954,296.007092729,1146.09614968
163,12.0,body,0.878100162401,746.463338967,0.121899837599,103.625717987,0.184034019835,850.089056954,296.007092729,1146.09614968
182,13.0,vent,1.0,850.089056954,0.143602983695,122.075324985,0.184034019835,850.089056954,296.007092729,1146.09614968
205,14.0,tail,1.14360298369,972.164381939,0.0882427794935,75.0142212026,0.184034019835,850.089056954,296.007092729,1146.09614968
220,15.0,tail,1.23184576319,1047.17860314,0.0953984826899,81.0972061847,0.184034019835,850.089056954,296.007092729,1146.09614968
236,16.0,tail,1.32724424588,1128.27580933,,,0.184034019835,850.089056954,296.007092729,1146.09614968
