,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0280006853193,23.3746317571,0.127052899697,106.062216343,0.188301946204,834.787845032,266.322476335,1101.11032137
19,2.0,body,0.155053585016,129.4368481,0.112454680763,93.8758006183,0.188301946204,834.787845032,266.322476335,1101.11032137
32,3.0,body,0.26750826578,223.312648719,0.0947531315609,79.0987625058,0.188301946204,834.787845032,266.322476335,1101.11032137
42,4.0,body,0.362261397341,302.411411224,0.0874534888583,73.0051095046,0.188301946204,834.787845032,266.322476335,1101.11032137
51,5.0,body,0.449714886199,375.416520729,0.111807197309,93.3352893003,0.188301946204,834.787845032,266.322476335,1101.11032137
62,6.0,body,0.561522083508,468.751810029,0.101203623613,84.4835548655,0.188301946204,834.787845032,266.322476335,1101.11032137
74,7.0,body,0.662725707121,553.235364895,0.0814044830657,67.9554729944,0.188301946204,834.787845032,266.322476335,1101.11032137
85,8.0,body,0.744130190186,621.190837889,0.107925116047,90.0945750496,0.188301946204,834.787845032,266.322476335,1101.11032137
98,9.0,body,0.852055306233,711.285412939,0.0710173729888,59.2844397572,0.188301946204,834.787845032,266.322476335,1101.11032137
107,10.0,body,0.923072679222,770.569852696,0.0769273207779,64.2179923363,0.188301946204,834.787845032,266.322476335,1101.11032137
115,11.0,vent,1.0,834.787845032,0.118883049503,99.2421247052,0.188301946204,834.787845032,266.322476335,1101.11032137
127,12.0,tail,1.1188830495,934.029969738,0.168684591263,140.815846431,0.188301946204,834.787845032,266.322476335,1101.11032137
149,13.0,tail,1.28756764077,1074.84581617,,,0.188301946204,834.787845032,266.322476335,1101.11032137
