,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
5,1.0,head,0.0225821063691,19.3830792777,0.0548451777434,47.0756983793,0.202122501519,858.337967279,294.672960573,1153.01092785
17,2.0,body,0.0774272841125,66.458777657,0.100688232595,86.4245328947,0.202122501519,858.337967279,294.672960573,1153.01092785
38,3.0,body,0.178115516708,152.883310552,0.0806298283004,69.2076429254,0.202122501519,858.337967279,294.672960573,1153.01092785
55,4.0,body,0.258745345008,222.090953477,0.0723748922327,62.122117881,0.202122501519,858.337967279,294.672960573,1153.01092785
71,5.0,body,0.331120237241,284.213071358,0.0871779259298,74.8281237341,0.202122501519,858.337967279,294.672960573,1153.01092785
89,6.0,body,0.418298163171,359.041195092,0.0981871157534,84.2777293488,0.202122501519,858.337967279,294.672960573,1153.01092785
110,7.0,body,0.516485278924,443.318924441,0.08883276593,76.2485357361,0.202122501519,858.337967279,294.672960573,1153.01092785
129,8.0,body,0.605318044854,519.567460177,0.0640010457829,54.934527541,0.202122501519,858.337967279,294.672960573,1153.01092785
144,9.0,body,0.669319090637,574.501987718,0.0613567793592,52.664853274,0.202122501519,858.337967279,294.672960573,1153.01092785
158,10.0,body,0.730675869996,627.166840992,0.071663958654,61.5118965982,0.202122501519,858.337967279,294.672960573,1153.01092785
175,11.0,body,0.80233982865,688.67873759,0.0776245975269,66.628139252,0.202122501519,858.337967279,294.672960573,1153.01092785
192,12.0,body,0.879964426177,755.306876842,0.120035573823,103.031090436,0.202122501519,858.337967279,294.672960573,1153.01092785
214,13.0,vent,1.0,858.337967279,0.141424385755,121.389919792,0.202122501519,858.337967279,294.672960573,1153.01092785
240,14.0,tail,1.14142438575,979.727887071,0.183047798845,157.116875575,0.202122501519,858.337967279,294.672960573,1153.01092785
274,15.0,tail,1.3244721846,1136.84476265,,,0.202122501519,858.337967279,294.672960573,1153.01092785
