,Marker,Marker type,"Marker loc, in svl","Marker loc, mm","Dist to next, in svl","Dist to next, mm",pix2mm,svl (mm),tail (mm),total length (mm)
4,1.0,head,0.0198304100783,13.2861359869,0.117267694357,78.5679432722,0.184032823856,669.987959625,253.318472608,923.306432233
19,2.0,body,0.137098104435,91.8540792591,0.104790108627,70.2081110681,0.184032823856,669.987959625,253.318472608,923.306432233
33,3.0,body,0.241888213063,162.062190327,0.0975897494914,65.3839571421,0.184032823856,669.987959625,253.318472608,923.306432233
46,4.0,body,0.339477962554,227.446147469,0.0875200876985,58.6374049833,0.184032823856,669.987959625,253.318472608,923.306432233
58,5.0,body,0.426998050252,286.083552453,0.0851261009555,57.03346269,0.184032823856,669.987959625,253.318472608,923.306432233
71,6.0,body,0.512124151208,343.117015143,0.0843740766979,56.5296154921,0.184032823856,669.987959625,253.318472608,923.306432233
82,7.0,body,0.596498227906,399.646630635,0.100373724619,67.2491869574,0.184032823856,669.987959625,253.318472608,923.306432233
93,8.0,body,0.696871952525,466.895817592,0.0919163679041,61.5828597882,0.184032823856,669.987959625,253.318472608,923.306432233
103,9.0,body,0.788788320429,528.47867738,0.0849913312594,56.9431686163,0.184032823856,669.987959625,253.318472608,923.306432233
115,10.0,body,0.873779651688,585.421845996,0.126220348312,84.5661136286,0.184032823856,669.987959625,253.318472608,923.306432233
133,11.0,vent,1.0,669.987959625,0.117868482677,78.9704642129,0.184032823856,669.987959625,253.318472608,923.306432233
146,12.0,tail,1.11786848268,748.958423838,0.118155311448,79.1626360359,0.184032823856,669.987959625,253.318472608,923.306432233
157,13.0,tail,1.23602379413,828.121059874,0.122347098402,81.9710828242,0.184032823856,669.987959625,253.318472608,923.306432233
167,14.0,tail,1.35837089253,910.092142698,,,0.184032823856,669.987959625,253.318472608,923.306432233
