,arc length (SVL),body width (SVL),tail width (VTL)
0,0.0,0.013459089677,0.0183948818708
1,0.01,0.013459089677,0.017259891957
2,0.02,0.0135796290311,0.0167226198825
3,0.03,0.0099564124378,0.0167226198825
4,0.04,0.0113573655955,0.0167226198825
5,0.05,0.0140698472543,0.0167226198825
6,0.06,0.0162052774388,0.0171359307177
7,0.07,0.0157519833046,0.0161706428907
8,0.08,0.0160841630833,0.0160841352864
9,0.09,0.0168655950907,0.0155877678497
10,0.1,0.0169966119515,0.016011670704
11,0.11,0.0175198084646,0.0174493357843
12,0.12,0.0173264835948,0.015850099526
13,0.13,0.0181341490304,0.0167938652627
14,0.14,0.0182521093375,0.0147230634942
15,0.15,0.0179425426967,0.0165194287168
16,0.16,0.0180608507493,0.0164029969564
17,0.17,0.0182010905222,0.0149431365379
18,0.18,0.0183201716523,0.015345616147
19,0.19,0.0183907091531,0.0142393775768
20,0.2,0.0184383253488,0.0153040622165
21,0.21,0.0179473478265,0.0147685541808
22,0.22,0.0191417172643,0.0150503578943
23,0.23,0.0195313970101,0.0117058339178
24,0.24,0.0196321171573,0.013482207172
25,0.25,0.0201262269188,0.0134034889921
26,0.26,0.0204787754397,0.0150503578943
27,0.27,0.0206697329666,0.0117058339178
28,0.28,0.0212476652978,0.0134088109849
29,0.29,0.0213471215519,0.0121742510381
30,0.3,0.0220087895387,0.0105650234236
31,0.31,0.0235242746307,0.0109084578285
32,0.32,0.0230912394982,0.0100996667212
33,0.33,0.0229178953623,0.0117058339178
34,0.34,0.0222571336104,0.0117058339178
35,0.35,0.0215466883188,0.0104970797957
36,0.36,0.0225157612141,0.00856035014728
37,0.37,0.0225514632762,0.00839757158934
38,0.38,0.0222333258121,0.0100335719295
39,0.39,0.0213887719561,0.0101071209819
40,0.4,0.0223413521193,0.0115781723366
41,0.41,0.0217359590631,0.0104162459515
42,0.42,0.0228418635467,0.00865947067963
43,0.43,0.0223108035403,0.00836130994126
44,0.44,0.0217945929221,0.0100335719295
45,0.45,0.0218861783556,0.00895284244774
46,0.46,0.0206867430174,0.00934802268739
47,0.47,0.0212249805996,0.0100273865967
48,0.48,0.021218006727,0.00879049124099
49,0.49,0.021218006727,0.0100335719295
50,0.5,0.0208097206946,0.00836130994126
51,0.51,0.0207454999293,0.00836130994126
52,0.52,0.021706280459,0.0100335719295
53,0.53,0.0215411050752,0.0100335719295
54,0.54,0.0206278216863,0.0068104131642
55,0.55,0.0210442379888,0.00669808610902
56,0.56,0.0204286447821,0.00668904795301
57,0.57,0.0215909260947,0.00668904795301
58,0.58,0.0225834944169,0.00891985465267
59,0.59,0.0235397681915,0.00852689650994
60,0.6,0.0237424766754,0.00836130994126
61,0.61,0.0221944632136,0.0100335719295
62,0.62,0.0217795243859,0.00836130994126
63,0.63,0.0211387084526,0.00743274424386
64,0.64,0.0208689537186,0.00602942634465
65,0.65,0.0206556894086,0.00733592907049
66,0.66,0.0200845066478,0.00668904795301
67,0.67,0.0197754552626,0.00668904795301
68,0.68,0.0194645765697,0.00631697570549
69,0.69,0.0187319571687,0.00668904795301
70,0.7,0.0180979508657,0.00668904795301
71,0.71,0.0178060083594,0.00668904795301
72,0.72,0.0171902005623,0.00729744223657
73,0.73,0.0173610481305,0.00668904795301
74,0.74,0.0175374530948,0.0049991073644
75,0.75,0.0177831566228,0.00501678596476
76,0.76,0.0175412495754,0.00501678596476
77,0.77,0.0168288319819,0.00501678596476
78,0.78,0.0174096465452,0.00468048516351
79,0.79,0.0172783352879,0.005079998133
80,0.8,0.0169536413095,0.00526060847283
81,0.81,0.0164117989321,0.0057067068963
82,0.82,0.016028733935,0.00526609071185
83,0.83,0.0162787683324,0.00377506685046
84,0.84,0.0160737592092,0.00397821733438
85,0.85,0.0158818504406,0.00501678596476
86,0.86,0.0156172890026,0.0033445239765
87,0.87,0.0152942204017,0.00437633819181
88,0.88,0.0157873301452,0.0033445239765
89,0.89,0.015488251488,0.00425927432646
90,0.9,0.0155625405957,0.004240674192
91,0.91,0.0153570198516,0.00338435069272
92,0.92,0.0150083277125,0.0033445239765
93,0.93,0.0146186939671,0.00178108746529
94,0.94,0.014281642604,0.00347706645041
95,0.95,0.0141902142833,0.0028897133039
96,0.96,0.0128761542187,0.0033445239765
97,0.97,0.0125412903878,0.0026221658768
98,0.98,0.00984589251513,0.00235094217409
99,0.99,0.00674543296284,0.00167226198825
100,1.0,0.00598456599993,0.0033445239765
